"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Rajasthan Royals","Kolkata Knight Riders",142,145,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Kuldeep Yadav","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Punjab Kings",186,183,"Punjab Kings","Field","Mumbai Indians","3 runs","Jasprit Bumrah","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Sunrisers Hyderabad",218,204,"Sunrisers Hyderabad","Field","Royal Challengers Bangalore","14 runs","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Chennai Super Kings",162,128,"Chennai Super Kings","Field","Delhi Capitals","34 runs","Harshal Patel","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Royal Challengers Bangalore",164,134,"Rajasthan Royals","Bat","Rajasthan Royals","30 runs","Shreyas Gopal","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Kolkata Knight Riders",172,173,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","5 wickets","Chris Lynn","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Delhi Capitals","Mumbai Indians",174,163,"Delhi Capitals","Bat","Delhi Capitals","11 runs","Amit Mishra","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Chennai Super Kings",153,159,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","Lungi Ngidi","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Sunrisers Hyderabad","Chennai Super Kings",139,140,"Chennai Super Kings","Field","Chennai Super Kings","2 wickets","Faf du Plessis","Wankhede Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Rajasthan Royals",169,144,"Rajasthan Royals","Field","Kolkata Knight Riders","25 runs","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Kolkata Knight Riders",174,160,"Kolkata Knight Riders","Field","Sunrisers Hyderabad","14 runs","Rashid Khan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Chennai Super Kings",178,181,"Chennai Super Kings","Field","Chennai Super Kings","8 wickets","Shane Watson","Wankhede Stadium","Mumbai","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",207,172,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","35 runs","Yuvraj Singh","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Rising Pune Supergiants",184,187,"Rising Pune Supergiants","Field","Rising Pune Supergiants","7 wickets","Steven Smith","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Gujarat Titans","Kolkata Knight Riders",183,184,"Kolkata Knight Riders","Field","Kolkata Knight Riders","10 wickets","Chris Lynn","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Rising Pune Supergiants","Punjab Kings",163,164,"Punjab Kings","Field","Punjab Kings","6 wickets","Glenn Maxwell","Holkar Cricket Stadium","Indore","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",157,142,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","15 runs","Kedar Jadhav","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Gujarat Titans","Sunrisers Hyderabad",135,140,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","9 wickets","Rashid Khan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Kolkata Knight Riders","Mumbai Indians",178,180,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Nitish Rana","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Punjab Kings",148,150,"Royal Challengers Bangalore","Bat","Punjab Kings","8 wickets","Axar Patel","Holkar Cricket Stadium","Indore","Neutral"
"Delhi Capitals","Rising Pune Supergiants",205,108,"Rising Pune Supergiants","Field","Delhi Capitals","97 runs","Sanju Samson","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Sunrisers Hyderabad","Mumbai Indians",158,159,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Jasprit Bumrah","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Kolkata Knight Riders",170,171,"Kolkata Knight Riders","Field","Kolkata Knight Riders","8 wickets","Sunil Narine","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Royal Challengers Bangalore","Mumbai Indians",142,145,"Mumbai Indians","Field","Mumbai Indians","4 wickets","Kieron Pollard","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rising Pune Supergiants","Gujarat Titans",171,172,"Gujarat Titans","Field","Gujarat Titans","7 wickets","Andrew Tye","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",172,155,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","17 runs","Robin Uthappa","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Punjab Kings",188,137,"Delhi Capitals","Bat","Delhi Capitals","51 runs","Corey Anderson","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Gujarat Titans","Mumbai Indians",176,177,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Nitish Rana","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rising Pune Supergiants","Royal Challengers Bangalore",161,134,"Royal Challengers Bangalore","Field","Rising Pune Supergiants","27 runs","Ben Stokes","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Kolkata Knight Riders",168,169,"Delhi Capitals","Bat","Kolkata Knight Riders","4 wickets","Nathan Coulter-Nile","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Punjab Kings",159,154,"Punjab Kings","Field","Sunrisers Hyderabad","5 runs","Bhuvneshwar Kumar","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Gujarat Titans",213,192,"Gujarat Titans","Field","Royal Challengers Bangalore","21 runs","Chris Gayle","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",191,176,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","15 runs","Kane Williamson","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Mumbai Indians",198,199,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Jos Buttler","Holkar Cricket Stadium","Indore","Neutral"
"Kolkata Knight Riders","Gujarat Titans",187,188,"Gujarat Titans","Field","Gujarat Titans","4 wickets","Suresh Raina","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Rising Pune Supergiants",176,179,"Rising Pune Supergiants","Field","Rising Pune Supergiants","6 wickets","MS Dhoni","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Mumbai Indians","Delhi Capitals",142,128,"Delhi Capitals","Field","Mumbai Indians","14 runs","Mitchell McClenaghan","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Gujarat Titans",188,162,"Gujarat Titans","Field","Punjab Kings","26 runs","Hashim Amla","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",131,49,"Royal Challengers Bangalore","Field","Kolkata Knight Riders","82 runs","Nathan Coulter-Nile","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rising Pune Supergiants","Mumbai Indians",160,157,"Mumbai Indians","Field","Rising Pune Supergiants","3 runs","Ben Stokes","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rising Pune Supergiants","Kolkata Knight Riders",182,184,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Robin Uthappa","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Royal Challengers Bangalore","Gujarat Titans",134,135,"Gujarat Titans","Field","Gujarat Titans","7 wickets","Andrew Tye","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Kolkata Knight Riders",160,161,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Gautam Gambhir","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Punjab Kings",207,181,"Punjab Kings","Field","Sunrisers Hyderabad","26 runs","Rashid Khan","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rising Pune Supergiants","Royal Challengers Bangalore",157,96,"Royal Challengers Bangalore","Field","Rising Pune Supergiants","61 runs","Lockie Ferguson","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Gujarat Titans","Mumbai Indians",153,153,"Gujarat Titans","Bat","Tied","Tied","Krunal Pandya","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Delhi Capitals","Punjab Kings",67,68,"Punjab Kings","Field","Punjab Kings","10 wickets","Sandeep Sharma","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Kolkata Knight Riders",209,161,"Kolkata Knight Riders","Field","Sunrisers Hyderabad","48 runs","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Mumbai Indians",162,165,"Royal Challengers Bangalore","Bat","Mumbai Indians","5 wickets","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Gujarat Titans","Rising Pune Supergiants",161,167,"Rising Pune Supergiants","Field","Rising Pune Supergiants","5 wickets","Ben Stokes","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Sunrisers Hyderabad","Delhi Capitals",185,189,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Mohammed Shami","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Rising Pune Supergiants",155,158,"Rising Pune Supergiants","Field","Rising Pune Supergiants","4 wickets","Rahul Tripathi","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Gujarat Titans","Delhi Capitals",208,214,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Rishabh Pant","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Royal Challengers Bangalore",138,119,"Royal Challengers Bangalore","Field","Punjab Kings","19 runs","Sandeep Sharma","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rising Pune Supergiants","Sunrisers Hyderabad",148,136,"Sunrisers Hyderabad","Field","Rising Pune Supergiants","12 runs","Jaydev Unadkat","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Delhi Capitals",212,66,"Delhi Capitals","Field","Mumbai Indians","146 runs","Lendl Simmons","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Royal Challengers Bangalore","Kolkata Knight Riders",158,159,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Sunil Narine","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Gujarat Titans",189,192,"Gujarat Titans","Field","Gujarat Titans","6 wickets","Dwayne Smith","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",138,140,"Mumbai Indians","Bat","Sunrisers Hyderabad","7 wickets","Shikhar Dhawan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Kolkata Knight Riders",167,153,"Kolkata Knight Riders","Field","Punjab Kings","14 runs","Mohit Sharma","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Gujarat Titans","Delhi Capitals",195,197,"Delhi Capitals","Field","Delhi Capitals","2 wickets","Shreyas Iyer","Green Park","Kanpur","Neutral"
"Punjab Kings","Mumbai Indians",230,223,"Mumbai Indians","Field","Punjab Kings","7 runs","Wriddhiman Saha","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Rising Pune Supergiants",168,161,"Delhi Capitals","Bat","Delhi Capitals","7 runs","Karun Nair","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Gujarat Titans","Sunrisers Hyderabad",154,158,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Mohammed Siraj","Green Park","Kanpur","Neutral"
"Mumbai Indians","Kolkata Knight Riders",173,164,"Kolkata Knight Riders","Field","Mumbai Indians","9 runs","Ambati Rayudu","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Rising Pune Supergiants",73,78,"Rising Pune Supergiants","Field","Rising Pune Supergiants","9 wickets","Jaydev Unadkat","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Royal Challengers Bangalore","Delhi Capitals",161,151,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","10 runs","Harshal Patel","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rising Pune Supergiants","Mumbai Indians",162,142,"Mumbai Indians","Field","Rising Pune Supergiants","20 runs","Washington Sundar","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Kolkata Knight Riders",128,48,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Nathan Coulter-Nile","M Chinnaswamy Stadium","Bangalore","Neutral"
"Kolkata Knight Riders","Mumbai Indians",107,111,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Karn Sharma","M Chinnaswamy Stadium","Bangalore","Neutral"
"Mumbai Indians","Rising Pune Supergiants",129,128,"Mumbai Indians","Bat","Mumbai Indians","1 run","Krunal Pandya","Rajiv Gandhi International Stadium","Hyderabad","Neutral"
"Mumbai Indians","Rising Pune Supergiants",121,126,"Mumbai Indians","Bat","Rising Pune Supergiants","9 wickets","Ajinkya Rahane","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Kolkata Knight Riders",98,99,"Kolkata Knight Riders","Field","Kolkata Knight Riders","9 wickets","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Gujarat Titans",161,162,"Gujarat Titans","Field","Gujarat Titans","5 wickets","Aaron Finch","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",227,182,"Sunrisers Hyderabad","Field","Royal Challengers Bangalore","45 runs","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Mumbai Indians",187,188,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Rohit Sharma","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rising Pune Supergiants","Gujarat Titans",163,164,"Rising Pune Supergiants","Bat","Gujarat Titans","7 wickets","Aaron Finch","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Punjab Kings","Delhi Capitals",111,113,"Delhi Capitals","Field","Delhi Capitals","8 wickets","Amit Mishra","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Kolkata Knight Riders",142,146,"Sunrisers Hyderabad","Bat","Kolkata Knight Riders","8 wickets","Gautam Gambhir","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Gujarat Titans",143,147,"Gujarat Titans","Field","Gujarat Titans","3 wickets","Aaron Finch","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rising Pune Supergiants","Punjab Kings",152,153,"Rising Pune Supergiants","Bat","Punjab Kings","6 wickets","Manan Vohra","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",191,192,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Quinton de Kock","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Sunrisers Hyderabad",142,145,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Kolkata Knight Riders",138,141,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Robin Uthappa","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",170,171,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Gujarat Titans","Sunrisers Hyderabad",135,137,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","10 wickets","Bhuvneshwar Kumar","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Royal Challengers Bangalore","Rising Pune Supergiants",185,172,"Rising Pune Supergiants","Field","Royal Challengers Bangalore","13 runs","AB de Villiers","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Delhi Capitals","Mumbai Indians",164,154,"Mumbai Indians","Field","Delhi Capitals","10 runs","Sanju Samson","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Sunrisers Hyderabad",143,146,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Mustafizur Rahman","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Gujarat Titans",180,182,"Royal Challengers Bangalore","Bat","Gujarat Titans","6 wickets","Virat Kohli","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Rising Pune Supergiants","Kolkata Knight Riders",160,162,"Kolkata Knight Riders","Field","Kolkata Knight Riders","2 wickets","Suryakumar Yadav","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Mumbai Indians","Punjab Kings",189,164,"Punjab Kings","Field","Mumbai Indians","25 runs","Parthiv Patel","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Rising Pune Supergiants",118,94,"Rising Pune Supergiants","Field","Rising Pune Supergiants","34 runs","Ashok Dinda","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Gujarat Titans","Delhi Capitals",172,171,"Delhi Capitals","Field","Gujarat Titans","1 run","Chris Morris","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Mumbai Indians",174,178,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rising Pune Supergiants","Gujarat Titans",195,196,"Gujarat Titans","Field","Gujarat Titans","3 wickets","Dwayne Smith","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Delhi Capitals","Kolkata Knight Riders",186,159,"Kolkata Knight Riders","Field","Delhi Capitals","27 runs","Carlos Brathwaite","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",194,179,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","15 runs","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Gujarat Titans",154,131,"Gujarat Titans","Field","Punjab Kings","23 runs","Axar Patel","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Rising Pune Supergiants","Mumbai Indians",159,161,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Rohit Sharma","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Royal Challengers Bangalore","Kolkata Knight Riders",185,189,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Andre Russell","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Gujarat Titans","Delhi Capitals",149,150,"Delhi Capitals","Field","Delhi Capitals","8 wickets","Rishabh Pant","Saurashtra Cricket Association Stadium","Rajkot","Neutral"
"Kolkata Knight Riders","Punjab Kings",164,157,"Punjab Kings","Field","Kolkata Knight Riders","7 runs","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Rising Pune Supergiants",162,166,"Rising Pune Supergiants","Field","Rising Pune Supergiants","7 wickets","Ajinkya Rahane","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Gujarat Titans","Sunrisers Hyderabad",126,129,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Bhuvneshwar Kumar","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rising Pune Supergiants","Royal Challengers Bangalore",191,195,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Virat Kohli","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Delhi Capitals",181,172,"Delhi Capitals","Field","Punjab Kings","9 runs","Marcus Stoinis","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",177,92,"Mumbai Indians","Field","Sunrisers Hyderabad","85 runs","Ashish Nehra","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Kolkata Knight Riders","Gujarat Titans",158,164,"Gujarat Titans","Field","Gujarat Titans","5 wickets","Praveen Kumar","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Royal Challengers Bangalore","Punjab Kings",175,174,"Punjab Kings","Field","Royal Challengers Bangalore","1 run","Shane Watson","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Rising Pune Supergiants",137,133,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","4 runs","Adam Zampa","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",151,153,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Krunal Pandya","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Delhi Capitals",146,150,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Chris Morris","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Punjab Kings",124,127,"Mumbai Indians","Bat","Punjab Kings","7 wickets","Marcus Stoinis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Royal Challengers Bangalore","Gujarat Titans",248,104,"Gujarat Titans","Field","Royal Challengers Bangalore","144 runs","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Sunrisers Hyderabad",179,180,"Punjab Kings","Bat","Sunrisers Hyderabad","7 wickets","Hashim Amla","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Mumbai Indians","Delhi Capitals",206,126,"Delhi Capitals","Field","Mumbai Indians","80 runs","Krunal Pandya","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",183,186,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","9 wickets","Virat Kohli","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Rising Pune Supergiants",121,76,"Rising Pune Supergiants","Field","Rising Pune Supergiants","19 runs","Ashok Dinda","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Kolkata Knight Riders","Gujarat Titans",124,125,"Gujarat Titans","Field","Gujarat Titans","6 wickets","Dwayne Smith","Green Park","Kanpur","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",158,161,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Karun Nair","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Punjab Kings","Rising Pune Supergiants",172,173,"Punjab Kings","Bat","Rising Pune Supergiants","4 wickets","MS Dhoni","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Mumbai Indians","Gujarat Titans",172,173,"Gujarat Titans","Field","Gujarat Titans","6 wickets","Suresh Raina","Green Park","Kanpur","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",171,149,"Sunrisers Hyderabad","Field","Kolkata Knight Riders","22 runs","Yusuf Pathan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Royal Challengers Bangalore",138,139,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","6 wickets","Virat Kohli","Shaheed Veer Narayan Singh International Stadium","Raipur","Neutral"
"Gujarat Titans","Royal Challengers Bangalore",158,159,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Kolkata Knight Riders",162,140,"Kolkata Knight Riders","Field","Sunrisers Hyderabad","22 runs","Moises Henriques","Arun Jaitley Stadium","Delhi","Neutral"
"Gujarat Titans","Sunrisers Hyderabad",162,163,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","4 wickets","David Warner","Arun Jaitley Stadium","Delhi","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",208,200,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","8 runs","Ben Cutting","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Kolkata Knight Riders",168,170,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Morne Morkel","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Chennai Super Kings","Delhi Capitals",150,149,"Delhi Capitals","Field","Chennai Super Kings","1 run","Ashish Nehra","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Rajasthan Royals","Punjab Kings",162,136,"Punjab Kings","Field","Rajasthan Royals","26 runs","James Faulkner","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",209,164,"Chennai Super Kings","Bat","Chennai Super Kings","45 runs","Brendon McCullum","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Royal Challengers Bangalore",177,179,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","3 wickets","Chris Gayle","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Rajasthan Royals",184,186,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Deepak Hooda","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Mumbai Indians",177,159,"Mumbai Indians","Field","Punjab Kings","18 runs","George Bailey","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Sunrisers Hyderabad",166,172,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","David Warner","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Rajasthan Royals",164,165,"Mumbai Indians","Bat","Rajasthan Royals","7 wickets","Steven Smith","Narendra Modi Stadium","Ahmedabad","Neutral"
"Punjab Kings","Delhi Capitals",165,169,"Punjab Kings","Bat","Delhi Capitals","5 wickets","Mayank Agarwal","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",127,131,"Rajasthan Royals","Field","Rajasthan Royals","6 wickets","Ajinkya Rahane","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Mumbai Indians","Chennai Super Kings",183,189,"Mumbai Indians","Bat","Chennai Super Kings","6 wickets","Ashish Nehra","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Sunrisers Hyderabad",167,163,"Delhi Capitals","Bat","Delhi Capitals","4 runs","Jean-Paul Duminy","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Punjab Kings","Kolkata Knight Riders",155,159,"Kolkata Knight Riders","Field","Kolkata Knight Riders","4 wickets","Andre Russell","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Chennai Super Kings","Rajasthan Royals",156,157,"Chennai Super Kings","Bat","Rajasthan Royals","8 wickets","Ajinkya Rahane","Narendra Modi Stadium","Ahmedabad","Neutral"
